tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
poland,0.3496,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
Poland,0.3377,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
land,0.2954,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
regulations,0.2830,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
resources,0.2768,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
mining,0.2743,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
Laws,0.2741,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
law,0.2396,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
democracy,0.2182,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
economy,0.2136,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
authority,0.2092,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
protest,0.1971,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
communism,0.1958,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
investment,0.1725,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
scandal,0.1666,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
agriculture,0.1616,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
wealth,0.1533,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
politics,0.1495,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
expropriation,0.1280,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
Diversity,0.1089,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
deposits,0.1039,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
opinion,0.0820,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
discussion,0.0780,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
perspective,0.0735,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
energy,0.0359,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
scale,0.0084,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
banking,0.0059,1.568331549712974e-14,0.05432595573440644,0.0,0.048289738430583505,-0.4020918607711792
