tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
Pensions,0.5213,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
pensions,0.5123,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
pension,0.4524,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
socialsecurity,0.4181,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
poland,0.3303,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
Poland,0.3043,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
Ukraine,0.2791,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
ukraine,0.2561,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
refugees,0.2421,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
retirement,0.2366,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
financialcrisis,0.2118,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
remittances,0.2049,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
bankruptcy,0.1996,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
payment,0.1919,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
policy,0.1877,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
employment,0.1872,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
corruption,0.1854,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
taxes,0.1786,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
migration,0.1688,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
Economy,0.1657,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
economy,0.1538,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
government,0.1512,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
immigration,0.1469,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
moneylaundering,0.1350,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
fraud,0.1147,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
donations,0.1139,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
money,0.1138,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
politics,0.1011,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
inefficiency,0.0925,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
finance,0.0893,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
war,0.0892,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
children,0.0610,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
vat,0.0587,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
justice,0.0587,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
border,0.0458,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
mafia,0.0171,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
control,-0.0027,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
TikTok,-0.0108,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
breaks,-0.0311,4.2378157114977825e-15,0.04195011337868481,0.0,0.030612244897959186,-0.48270460963249207
