tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
transvestite,0.3967,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
transgender,0.3736,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
sexism,0.3433,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
genderidentity,0.3392,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
advertising,0.2998,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
traditionalism,0.2449,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
politics,0.2449,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
beer,0.2361,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
controversy,0.2287,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
misconception,0.2097,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
deception,0.2013,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
brands,0.1968,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
business,0.1963,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
production,0.1944,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
patriotism,0.1848,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
mentalhealth,0.1755,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
perception,0.1443,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
observation,0.1211,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
tradition,0.1116,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
reflection,0.0794,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
pause,0.0508,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
rural,0.0336,6.717135305709621e-14,0.033376123234916566,0.002574002574002574,0.02053915275994865,-0.4016108512878418
