tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
realestate,0.3631,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
real estate,0.3203,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
crisis,0.2913,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
economics,0.2785,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
housing,0.2673,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
investment,0.2584,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
inflation,0.2573,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
speculation,0.2437,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
finance,0.2429,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
journalism,0.2349,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
economy,0.2304,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
break down,0.2221,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
market,0.2218,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
emotions,0.1906,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
emotion,0.1737,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
profit,0.1734,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
relationships,0.1591,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
break,0.1456,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
romance,0.1188,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
pause,0.0973,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
city_size,0.0973,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
betrayal,0.0757,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
rest,0.0753,7.088081866524094e-14,0.03863845446182153,0.003686635944700461,0.031278748850045994,-0.38353389501571655
