tag_name,cosine_similarity
poland,0.4456
Poland,0.4024
entrepreneurs,0.3518
Entrepreneurship,0.3374
european_economy,0.3281
entrepreneurship,0.3109
business,0.2830
economy,0.2630
economics,0.2430
european_comparison,0.2185
europe,0.2092
businessrules,0.1645
discouragement,0.1607
business_regulations,0.1482
income_inequality,0.1457
politics,0.1454
public_opinion,0.1423
media,0.1356
income,0.1345
Facts,0.1303
Europe,0.1230
sentiment,0.1225
opinion,0.1121
perception,0.1105
disparity,0.1099
media_perception,0.1033
negative image,0.1003
decline,0.0991
comparative analysis,0.0900
attitude,0.0899
continuation,0.0891
survey,0.0881
research,0.0787
topic,0.0689
pause,0.0674
break,0.0661
drop,0.0568
debate,0.0558
inequality,0.0471
complexity,0.0332
respect,0.0314
discussion,0.0311
conditions,0.0211
comparison,0.0083
