tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
inflation,0.6545,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
economy,0.2555,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
economics,0.2265,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
globalization,0.2099,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
poland,0.1862,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
measurement,0.1637,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
lies,0.1507,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
government_debt,0.1341,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
manipulation,0.1334,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
Business,0.1313,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
government,0.1228,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
uncertainty,0.1171,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
pandemic,0.1112,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
statistics,0.1037,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
disease,0.0914,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
Mourning,-0.0011,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
Break,-0.0330,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
gdp,-0.0387,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
trade,-0.0540,2.1175894263109998e-14,0.056795131845841784,0.0,0.04462474645030426,-0.4430724084377289
