tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
poland,0.4426,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
inflation,0.4026,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
economy,0.3245,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
economics,0.3002,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
business_economics,0.2868,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
investment,0.2656,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
finance,0.2447,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
prediction,0.2042,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
central_bank,0.1990,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
growth,0.1866,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
gold,0.1848,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
interest_rates,0.1659,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
business,0.1622,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
politics,0.1385,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
stabilization,0.1370,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
stability,0.1171,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
voter_satisfaction,0.1169,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
ion,0.1099,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
trade-balance,0.1092,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
debate,0.0763,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
pause,0.0190,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
trade,0.0080,1.0777804371535697e-13,0.0680161943319838,0.004866180048661801,0.048582995951417005,-0.4629949927330017
