tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
russia,0.3864,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
Russia,0.3656,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
sanctions,0.3498,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
war,0.3185,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
economy,0.2950,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
economics,0.2736,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
oil,0.2371,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
corruption,0.2345,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
Conflict,0.2074,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
MilitaryStrength,0.2039,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
resources,0.2004,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
industry,0.2003,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
Power,0.1803,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
production,0.1698,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
debt,0.1642,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
currency,0.1584,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
Resources,0.1465,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
BRICS,0.1236,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
Deception,0.1151,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
finance,0.0994,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
pause,0.0869,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
europe,0.0696,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
africa,0.0676,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
ak,0.0452,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
Africa,0.0363,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
brics,0.0350,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
conversation,0.0184,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
usa,-0.0029,1.9226874517182016e-13,0.06270096463022509,0.0,0.05305466237942122,-0.48207420110702515
