tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
electric vehicles,0.5803,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
electriccars,0.5028,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
electrics Cars,0.4831,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
electricity,0.4155,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
Sustainability,0.4006,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
electric_cars,0.3821,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
sustainability,0.3801,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
emissions,0.3606,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
EnergyProduction,0.3259,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
automotive,0.2787,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
environment,0.2554,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
eu_regulation,0.2249,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
carbon dioxide,0.2245,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
economics,0.2016,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
competition,0.1781,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
greenpeace,0.1475,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
safety,0.1397,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
monopoly,0.1223,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
costs,0.0935,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
repair,0.0621,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
raremetals,0.0521,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
deception,0.0415,2.847583297270205e-13,0.03773584905660377,0.008403361344537815,0.03563941299790357,-0.3507322072982788
