tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
russia,0.4517,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
corruption,0.4199,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
Russia,0.4092,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
diplomacy,0.3312,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
money laundering,0.3199,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
africa,0.2845,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
smuggling,0.2577,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
influence,0.2390,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
money,0.2301,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
politics,0.2293,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
conflict,0.2149,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
war,0.2098,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
government,0.1972,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
gold,0.1817,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
opposition,0.1790,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
suppression,0.1719,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
crime,0.1664,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
minerals,0.1627,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
powerstruggle,0.1480,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
policy,0.1312,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
cookies,0.1309,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
wagner,0.1282,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
prigozhin,0.1115,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
rebellion,0.0816,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
EU,0.0575,4.932801818518952e-12,0.04158790170132325,0.0,0.034026465028355386,-0.4922879934310913
