tag_name,cosine_similarity
russia,0.4517
corruption,0.4199
ukraine,0.4136
Russia,0.4092
moneylaundering,0.3807
putin,0.3738
geopolitics,0.3600
diplomacy,0.3312
money laundering,0.3199
africa,0.2845
russian,0.2843
dictatorship,0.2708
smuggling,0.2577
influence,0.2390
african_conflict,0.2322
money,0.2301
politics,0.2293
conflict,0.2149
economy,0.2139
war,0.2098
government,0.1972
gold,0.1817
opposition,0.1790
Politics,0.1741
suppression,0.1719
Prigozhin,0.1679
mining,0.1674
crime,0.1664
minerals,0.1627
power struggle,0.1515
powerstruggle,0.1480
policy,0.1312
cookies,0.1309
Military,0.1299
wagner,0.1282
behavior,0.1247
power,0.1163
prigozhin,0.1115
Rebellion,0.1113
diamonds,0.1050
MarsColonization,0.0936
finance,0.0935
budget,0.0932
oligarchy,0.0925
Rocketry,0.0892
rebellion,0.0816
illegal,0.0785
EU,0.0575
emotions,0.0493
psychology,0.0140
SpaceEx,0.0097
