tag_name,cosine_similarity
billionaires,0.4471
wealth,0.3448
investments,0.3387
stocks,0.3148
realestate,0.3064
finance,0.2921
economics,0.2911
value,0.2899
business decline,0.2874
investment,0.2773
economy,0.2683
assets,0.2446
business,0.2106
price_increase,0.2053
stock,0.2049
pricing,0.2025
loss,0.2019
stockmarket,0.1931
valuation,0.1846
prices,0.1844
trends,0.1792
technology,0.1653
coca-cola,0.1642
trend,0.1450
crisis,0.1444
manufacturing,0.1191
psychology,0.1128
china,0.1084
China,0.1039
electronics,0.0951
demandandsupply,0.0809
uncertainty,0.0763
china_influence,0.0685
manhattan,0.0610
tesla,0.0401
decline,0.0380
trade,0.0237
taiwan-china,0.0085
supplychain,0.0002
dependence,-0.0061
Taiwan,-0.0156
threat,-0.0716
