tag_name,cosine_similarity
housing-market,0.4202
housing market,0.3934
propertymarket,0.3660
forecasting,0.3207
real estate,0.3203
real Estate,0.3141
newspapers,0.2973
economics,0.2785
housing,0.2673
criticism,0.2605
businessdecline,0.2593
inflation,0.2573
marketbreakdown,0.2568
continuation,0.2555
collapse,0.2546
future,0.2492
property,0.2467
businesses,0.2460
speculation,0.2437
finance,0.2429
surprise,0.2416
construction,0.2344
interview,0.2316
economy,0.2304
realty,0.2281
breakdown,0.2240
market,0.2218
interviews,0.2138
awakening,0.2138
buying,0.2127
moods,0.2083
loans,0.2064
questioning,0.1980
rising,0.1973
mood,0.1949
discussion,0.1945
mariusz,0.1940
lending,0.1929
emotions,0.1906
wealth,0.1847
dream,0.1801
Mariusz,0.1760
moment,0.1760
return,0.1719
dreamawakening,0.1705
房地产市场,0.1665
profits,0.1613
conversation,0.1608
crypto,0.1606
poland,0.1535
break,0.1456
banking,0.1452
luxury,0.1421
apartments,0.1378
currency,0.1370
fundamental,0.1250
purchases,0.1243
romance,0.1188
risk,0.1183
bread,0.1150
money,0.1149
doubt,0.1147
back,0.1124
culture,0.1078
losses,0.1070
credit,0.1064
经济形势,0.1048
comparison,0.1022
land,0.1019
prices,0.0922
love,0.0878
房地产贷款,0.0870
cities,0.0832
zlotys,0.0796
betrayal,0.0757
landsmoke,0.0566
butter,0.0549
accessibility,0.0445
milk,0.0347
