tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
paedophilia,0.3437,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
scandal,0.3242,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
womeninfluence,0.3001,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
politics,0.2489,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
influence,0.2328,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
greed,0.2126,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
media,0.2115,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
feminism,0.2095,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
women,0.2010,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
failure,0.1960,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
society,0.1936,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
Hollywood,0.1886,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
fame,0.1822,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
sexism,0.1821,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
hollywood,0.1800,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
influencers,0.1791,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
mythology,0.1624,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
paraprostitution,0.1541,5.798077571552327e-13,0.04907161803713528,0.00796812749003984,0.042440318302387266,-0.43462619185447693
