tag_name,cosine_similarity
paedophilia,0.3437
scandal,0.3242
womeninfluence,0.3001
Pandora,0.2808
poland,0.2730
Pandora_myth,0.2714
fiction,0.2670
politics,0.2489
pornography,0.2388
womenrights,0.2363
influence,0.2328
historicalcontext,0.2138
greed,0.2126
media,0.2115
feminism,0.2095
audience,0.2067
women-success-strategies,0.2025
children,0.2024
women,0.2010
youth,0.1984
movies,0.1981
hypergamy,0.1973
failure,0.1960
society,0.1936
Hollywood,0.1886
influencing,0.1881
secrets,0.1861
girls,0.1836
fame,0.1822
sexism,0.1821
intimacy,0.1803
hollywood,0.1800
influencers,0.1791
principles,0.1790
socialmedia,0.1726
mariusz,0.1670
mythology,0.1624
youngsters,0.1606
dolls,0.1569
relationships,0.1564
paraprostitution,0.1541
popular,0.1538
gods,0.1536
corporate,0.1506
seductive,0.1505
social_issues,0.1495
listening,0.1462
dvertising,0.1456
popularity,0.1454
production,0.1438
culture,0.1422
ponds,0.1417
economy,0.1391
myth,0.1389
Trump,0.1376
Melania,0.1372
profession,0.1369
success,0.1354
women_in_economics,0.1347
wealth,0.1334
sexuality,0.1307
businessstrategy,0.1291
common_sense,0.1283
business,0.1282
citizens,0.1265
responsibility,0.1251
socialnorms,0.1238
podcast,0.1235
marketing,0.1227
money,0.1216
age,0.1174
minors,0.1166
magic,0.1162
stars,0.1152
punishment,0.1146
strategy,0.1119
watching,0.1114
innovation,0.1089
industry,0.1042
power,0.1023
industries,0.1014
bonuses,0.0978
sex,0.0961
womeninwork,0.0960
shame,0.0949
economics,0.0894
partnership,0.0878
disconnection,0.0861
interview,0.0827
presidency,0.0824
investors,0.0820
gains,0.0775
dot,0.0774
conversation,0.0766
partner,0.0709
aesthetics,0.0702
idols,0.0666
lady,0.0665
shareholders,0.0659
investment,0.0634
ads,0.0633
talent,0.0589
lifestyle,0.0583
partners,0.0577
contracts,0.0565
internet,0.0561
ratings,0.0527
no_scruples,0.0475
losses,0.0461
sexual,0.0443
attractive,0.0439
symbol,0.0437
fishing,0.0412
hypertargeting,0.0407
box,0.0386
entrepreneurship,0.0385
sexually,0.0301
stockmarket,0.0282
gender,0.0251
contract,0.0240
careers,0.0184
dynamics,0.0149
finance,0.0105
distance,-0.0067
online,-0.0423
warrior,-0.0815
