tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
nationalbank,0.3902,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
inflation,0.3560,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
centralbank,0.3060,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
banking,0.2964,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
losses,0.2762,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
macroeconomics,0.2557,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
economy,0.2400,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
cryptocurrency,0.2287,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
economics,0.2149,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
finance,0.2126,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
bonds,0.1875,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
politics,0.1671,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
interestrate,0.1583,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
reserves,0.1373,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
interest_rates,0.1325,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
police,0.1007,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
jumps,0.0620,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
crossroads,-0.0363,1.457027523044097e-14,0.04368932038834951,0.0024330900243309,0.038834951456310676,-0.4491037130355835
