tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
agriculture,0.4010,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
capitalism,0.3541,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
economy,0.3403,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
ukraine,0.3366,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
economics,0.3163,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
purchase,0.2537,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
misinterpretation,0.2356,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
prediction,0.2346,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
import,0.2162,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
patriotism,0.2143,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
zero_interest_rate,0.1839,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
socialmedia,0.1837,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
financing,0.1722,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
historypolls,0.1634,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
decision,0.1540,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
intellect,0.1441,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
authorities,0.1435,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
environment,0.1331,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
morality,0.1253,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
thinking,0.1225,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
maritime,0.1209,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
safety,0.1183,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
autism,0.1178,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
strong,0.1085,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
body,0.0836,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
storms,0.0793,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
cary,0.0728,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
neighborhood,0.0706,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
trade,0.0544,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
weather,0.0505,4.176432333716772e-14,0.04844961240310078,0.005825242718446601,0.04457364341085271,-0.46047869324684143
