tag_name,cosine_similarity
agriculture,0.4010
capitalism,0.3541
economy,0.3403
ukraine,0.3366
economics,0.3163
industries,0.2934
exports,0.2608
history,0.2575
purchase,0.2537
shopping,0.2478
misinformation,0.2454
business,0.2415
misinterpretation,0.2356
prediction,0.2346
products,0.2226
import,0.2162
patriotism,0.2143
EuropeanUnion,0.2109
historical,0.1970
uncertainty,0.1945
logic,0.1860
zero_interest_rate,0.1839
socialmedia,0.1837
finance,0.1746
financing,0.1722
ethics,0.1653
intelligence,0.1634
historypolls,0.1634
sharing,0.1589
blood donation,0.1549
decision,0.1540
oligarchy,0.1533
culture,0.1503
intellect,0.1441
authorities,0.1435
medicine,0.1433
water,0.1404
thoughts,0.1342
environment,0.1331
people,0.1283
internet,0.1273
morality,0.1253
thinking,0.1225
cry,0.1216
maritime,0.1209
comparison,0.1199
safety,0.1183
autism,0.1178
biology,0.1153
strong,0.1085
international,0.1079
blood,0.1064
literature,0.1041
sailing,0.0986
casualties,0.0850
body,0.0836
storms,0.0793
cary,0.0728
neighborhood,0.0706
strongness,0.0701
trade,0.0544
weather,0.0505
distinction,0.0460
storm,0.0196
captain,0.0011
