tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
expensive-energy,0.4374,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
inflation,0.4315,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
capitalism,0.3866,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
economy,0.3829,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
global-market-pricing,0.3826,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
fuelpriceincrease,0.3736,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
oligopolies,0.3617,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
monopolies,0.3610,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
economics,0.3484,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
conspiracy,0.3028,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
politics,0.2828,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
costs,0.2780,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
monopoly,0.2705,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
energy,0.2219,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
"politics""",0.2196,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
war-in-ukraine,0.2079,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
prices,0.1963,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
scandal,0.1840,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
coal,0.1700,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
powerplant,0.1525,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
investment,0.1511,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
responsibility,0.1497,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
discount,0.1442,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
riskmanagement,0.1382,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
audit,0.1323,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
exploration,0.1189,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
understanding,0.1085,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
schemes,0.1028,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
society,0.0990,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
polish,0.0907,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
operations,0.0892,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
bills,0.0556,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
household,0.0086,3.3747264905323347e-13,0.055666003976143144,0.00398406374501992,0.043737574552683886,-0.30667561292648315
