tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
capitalism,0.3348,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
foodproduction,0.3335,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
environmentalpolicy,0.3137,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
fertilizers,0.2671,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
economics,0.2438,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
crisis,0.2401,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
industry,0.2341,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
politics,0.2000,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
strategy,0.1680,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
doubleeffect,0.1616,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
gasprices,0.1560,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
business,0.1190,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
voters,0.1095,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
chemistry,0.1038,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
internationaltrade,0.0963,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
audition,0.0556,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
nextpart,0.0375,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
move,0.0156,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
mixing,0.0140,7.951488089034608e-14,0.02863961813842482,0.0,0.02863961813842482,-0.42947885394096375
