tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
artificial-intelligence,0.4363,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
artificialintelligence,0.3893,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
corruption,0.3342,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
artificial,0.2705,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
automation,0.2467,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
intelligence,0.2440,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
intuition,0.2393,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
logic,0.2302,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
legal-system,0.2290,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
computers,0.2126,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
citycouncil,0.2071,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
economy,0.2018,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
wisdom,0.1745,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
fiction-generation,0.1711,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
optimization,0.1693,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
complication,0.1488,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
corporateuse,0.1486,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
creativity,0.1467,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
criminals,0.1448,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
brazil,0.1379,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
ai,0.1378,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
dataleakage,0.1335,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
safety,0.1316,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
councilor,0.1276,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
comparison,0.1212,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
lawyers,0.1158,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
codecorrection,0.1093,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
tools,0.1032,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
gpt,0.0843,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
breaks,0.0157,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
invitation,-0.0023,3.8072617392366106e-13,0.050731707317073174,0.0039100684261974585,0.03902439024390244,-0.47752970457077026
