tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
billionaires,0.4471,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
investors,0.3588,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
wealth,0.3448,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
investments,0.3387,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
stocks,0.3148,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
economics,0.2911,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
economy,0.2683,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
realestatevaluation,0.2571,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
accounting,0.2402,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
valuation,0.1846,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
money,0.1846,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
prices,0.1844,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
Tesla,0.1781,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
coca-cola,0.1642,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
market,0.1558,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
mathematics,0.1533,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
crisis,0.1444,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
industries,0.1275,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
psychology,0.1128,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
china,0.1084,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
China,0.1039,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
media,0.0799,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
future,0.0734,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
taylorism,0.0577,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
globaltrade,0.0529,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
chips,0.0502,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
insider,0.0437,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
factoryautomation,0.0080,8.003618712524094e-14,0.05760368663594471,0.004618937644341802,0.03917050691244239,-0.4519851505756378
