tag_name,cosine_similarity
gdansk,0.6196
poland,0.5296
warsaw,0.5266
corruption,0.4533
bribes,0.4443
bribery,0.4345
politics,0.4218
wealth,0.3805
governance,0.3744
coat,0.3576
money,0.3342
economy,0.3330
income,0.3224
leadership,0.3193
taxes,0.3177
law,0.3121
mismanagement,0.3074
sentencing,0.2838
ethics,0.2816
wages,0.2402
analysis,0.2390
policies,0.2371
realestate,0.2307
radio,0.2304
usa,0.2276
gifts,0.2198
budget,0.2197
transparency,0.2045
clothing,0.1982
morality,0.1945
artist,0.1929
Christmas,0.1916
restaurant,0.1881
conversation,0.1736
workers,0.1692
scientists,0.1349
computers,0.0964
guests,0.0891
